Name,ShortName ,ModeAndPID,Equation,Min Value,Max Value,Units,Header,
[BZIK] Compressor Air conditioner ,AC compr,2104,{D:6},0,0,,74D,
[K9K] Water In Fuel,water!,222058,{A:0},0,0,,,
[K9K] Default Installation Revolutions Engine ,default rpm,222024,(A*256+ B)/ 4,0,0,,,
[K9K] Quantity Candles heating Ozh ,T- plugs cnt,22201D,{A: 0}+ {A:0}+{A:1}+{A:2},0,0,,,
[K9K] Status Automatic transmission : 2-Mkpp,gearbox status,222096,{A: 0}+ {A:1},0,0,,,
[K9K] Status Air conditioner ,AC state,22201E,{A:0},0,0,,,
[K9K] Status Works Starter ,starter on,222046,{A: 0}+ {A:1},0,0,,,
[K9K] Status Successful  Finish  regen Dpf ,succes regen key,2224AB,{A:0},0,0,,,
[K9K] Level Fillings Dpf ,DPF load,2224AF,{A: 0}+ {A:1},0,0,,,
"1","1","0x22fd07","0.0000305*(A*256+B)",0,0,"","","","",1
"2","2","0x22fd08","0.0000305*(A*256+B)",0,0,"","","","",1
"3","3","0x22fd09","0.0000305*(A*256+B)",0,0,"","","","",1
"4","4","0x22fd0a","0.0000305*(A*256+B)",0,0,"","","","",1
"Water Temp","Water Temp","0x222001","(1.0*((A*256+B)-2730))/10",0,100,"°c","","","",100
"DPF","DPF","0x22242c","(1.0*((A*256+B)))/100",0,0,"gr","","","",1
"km reg","Km last Reg.","0x222554","(A*256+B+C)",0,0,"km","","","",1
"DPF Mode","DPF Mode","0x222056","(A&15)",0,100,"","","","",1
"Oil","Oil","0x2224ec","(1.0*(signed(A*16777216+B*65536+C*256+D)))/1000000",0,0,"%","","","",1
"reg","Reg Duration","0x222487","(1.0*((A*256+B)))/600",0,0,"min","","","",1
"Reg OK","Reg. OK","0x222481","A",0,0,"","","","",1
"Temp DPF","Temp DPF","0x222442","((A*256+B)-2730)/10",0,100,"°c","","","",1
"Time from last Reg","Time from last Reg","0x222488","(1.0*(A*256+B))/3600",0,0,"hora","","","",1
"Turbo","Turbo","0x222439","((A*256+B)-2730)/10",0,100,"°c","","","",1
